City_ID,City,Country,Latitude,longitude,Maximum temperature,Percent humidity,Percent cloudiness,Wind Speed,Weather description
46,Dikson,RU,73.5069,80.5464,29.55,65,100,20.4,overcast clouds
47,Almaznyy,RU,48.0448,40.045,48.34,66,8,7.72,clear sky
48,Tasiilaq,GL,65.6145,-37.6368,32.16,53,5,3.04,clear sky
49,Utete,TZ,-7.986,38.758,71.65,92,93,1.25,overcast clouds
50,North Bend,US,43.4065,-124.2243,59.23,77,20,9.22,few clouds
51,Meulaboh,ID,4.1363,96.1285,76.17,86,100,3.0,overcast clouds
52,Hurghada,EG,27.2574,33.8129,79.5,46,3,13.82,clear sky
53,Cidreira,BR,-30.1811,-50.2056,64.99,80,99,20.2,overcast clouds
54,Saint-Philippe,RE,-21.3585,55.7679,71.15,88,6,5.32,clear sky
55,Cayenne,GF,4.9333,-52.3333,83.08,81,0,3.0,clear sky
56,Port Lincoln,AU,-34.7333,135.8667,55.47,51,5,12.64,clear sky
57,Portland,US,45.5234,-122.6762,58.6,66,75,3.0,broken clouds
58,Narsaq,GL,60.9167,-46.05,30.42,47,19,2.42,few clouds
59,Grand Gaube,MU,-20.0064,57.6608,71.38,92,99,5.01,light rain
60,Lavrentiya,RU,65.5833,-171.0,30.67,79,54,3.47,broken clouds
61,Codrington,AU,-38.2667,141.9667,53.31,56,74,11.03,broken clouds
62,Port Elizabeth,ZA,-33.918,25.5701,51.1,76,38,10.83,scattered clouds
63,Mao,ES,39.8885,4.2658,59.56,88,0,6.91,clear sky
64,Dinghai,CN,26.2847,119.7936,78.73,80,42,25.34,scattered clouds
65,Rikitea,PF,-23.1203,-134.9692,74.82,79,98,17.83,overcast clouds
66,Sept-Iles,CA,50.2001,-66.3821,49.05,90,84,3.78,broken clouds
67,San Jeronimo,PE,-11.9472,-75.2829,56.62,67,66,5.79,broken clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,61,5.99,broken clouds
69,Pevek,RU,69.7008,170.3133,23.61,92,100,5.19,light snow
70,Kosh-Agach,RU,50.0,88.6667,18.09,85,100,1.99,overcast clouds
71,Upernavik,GL,72.7868,-56.1549,33.33,97,100,10.87,light snow
72,Ribeira Grande,PT,38.5167,-28.7,69.48,92,100,25.68,overcast clouds
73,Castro,BR,-24.7911,-50.0119,56.44,97,99,11.95,overcast clouds
74,Georgetown,MY,5.4112,100.3354,78.89,89,20,0.0,few clouds
75,Bluff,NZ,-46.6,168.3333,47.8,90,100,9.31,light rain
76,New Norfolk,AU,-42.7826,147.0587,54.66,51,85,5.01,overcast clouds
77,Antofagasta,CL,-23.65,-70.4,67.21,62,10,4.59,clear sky
78,Lebu,CL,-37.6167,-73.65,50.52,88,9,13.24,clear sky
79,Hohhot,CN,40.8106,111.6522,42.4,35,0,3.8,clear sky
80,Rio Gallegos,AR,-51.6226,-69.2181,43.72,65,43,8.14,scattered clouds
81,Dhidhdhoo,MV,6.8833,73.1,82.89,79,100,20.45,overcast clouds
82,Baijiantan,CN,45.6333,85.1833,52.21,40,100,25.14,overcast clouds
83,Aykhal,RU,66.0,111.5,17.69,93,100,17.25,light snow
84,Terrace,CA,54.5163,-128.6035,49.42,98,100,0.69,light rain
85,Mahebourg,MU,-20.4081,57.7,71.26,91,96,8.9,light rain
86,San Patricio,US,28.017,-97.5169,86.05,73,40,18.66,scattered clouds
87,Ponta Do Sol,PT,32.6667,-17.1,72.23,69,17,5.08,few clouds
88,Hermanus,ZA,-34.4187,19.2345,63.9,62,98,7.49,overcast clouds
89,Novotroitskaya,RU,45.3267,41.5253,51.75,95,12,2.24,few clouds
90,Luderitz,NA,-26.6481,15.1594,71.1,35,6,4.21,clear sky
91,Altos Del Rosario,CO,8.7944,-74.1658,76.53,90,46,1.63,scattered clouds
92,Beisfjord,NO,68.3751,17.5988,49.05,93,100,3.29,overcast clouds
93,Yaguajay,CU,22.3272,-79.2378,74.34,89,90,5.84,light rain
94,Takab,IR,36.4009,47.1133,47.97,46,0,4.76,clear sky
95,Naze,JP,28.3667,129.4833,77.88,86,64,16.46,broken clouds
96,Kandi,BJ,11.1342,2.9386,78.26,68,64,5.79,broken clouds
97,Jamestown,US,42.097,-79.2353,65.79,84,1,7.0,clear sky
98,Busselton,AU,-33.65,115.3333,60.08,82,98,17.54,overcast clouds
99,Alcudia,ES,39.8532,3.1214,64.26,71,4,3.67,clear sky
100,Pueblo Nuevo,MX,23.3833,-105.3833,63.19,92,59,3.44,broken clouds
101,Airai,TL,-8.9266,125.4092,74.25,45,97,1.99,overcast clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,91.62,72,1,1.01,clear sky
103,Fairbanks,US,64.8378,-147.7164,37.6,94,90,5.75,light rain
104,Chuy,UY,-33.6971,-53.4616,60.6,78,97,13.8,overcast clouds
105,Itaueira,BR,-7.6033,-43.0256,86.63,30,96,2.95,overcast clouds
106,Songjianghe,CN,42.1859,127.479,44.02,63,0,2.66,clear sky
107,Thompson,CA,55.7435,-97.8558,49.51,57,87,5.41,overcast clouds
108,Hyderabad,IN,17.3753,78.4744,74.71,94,40,4.61,mist
109,Blytheville,US,35.9273,-89.919,80.58,57,1,11.01,clear sky
110,Qaanaaq,GL,77.484,-69.3632,29.79,86,100,8.39,overcast clouds
111,Saldanha,ZA,-33.0117,17.9442,61.7,49,89,8.16,overcast clouds
112,Coahuayana,MX,18.7333,-103.6833,87.28,84,95,2.68,overcast clouds
113,Belmonte,BR,-15.8631,-38.8828,74.14,92,79,7.52,broken clouds
114,Omsukchan,RU,62.5333,155.8,20.23,75,9,5.26,clear sky
115,Nsanje,MW,-16.92,35.262,73.31,78,10,7.34,clear sky
116,Razole,IN,16.4833,81.8333,75.88,91,32,3.36,scattered clouds
117,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,8.05,broken clouds
118,Viedma,AR,-40.8135,-62.9967,58.35,56,0,18.16,clear sky
119,Ekhabi,RU,53.5102,142.9671,46.62,91,100,28.66,moderate rain
120,Qaqortoq,GL,60.7167,-46.0333,30.7,50,19,3.53,few clouds
121,Butaritari,KI,3.0707,172.7902,81.75,65,31,8.68,scattered clouds
122,Yokadouma,CM,3.5167,15.05,67.71,99,84,2.62,broken clouds
123,Egvekinot,RU,66.3167,-179.1667,20.71,83,91,6.22,overcast clouds
124,Jiuquan,CN,39.7432,98.5174,38.66,32,2,4.97,clear sky
125,Porto Seguro,BR,-16.4497,-39.0647,74.46,90,65,7.94,broken clouds
126,Kudahuvadhoo,MV,2.6708,72.8944,82.87,75,98,14.85,overcast clouds
127,Provideniya,RU,64.3833,-173.3,33.91,80,90,6.71,overcast clouds
128,Avarua,CK,-21.2078,-159.775,78.85,73,100,9.22,overcast clouds
129,Kysyl-Syr,RU,63.8986,122.7617,32.79,94,97,9.71,overcast clouds
130,Bambous Virieux,MU,-20.3428,57.7575,71.22,92,97,8.61,light rain
131,Onega,RU,63.9061,38.1404,49.62,93,100,12.03,overcast clouds
132,Metlaltoyuca,MX,20.7333,-97.85,83.93,84,82,4.99,broken clouds
133,Coolum Beach,AU,-26.5333,153.1,80.11,60,35,9.98,scattered clouds
134,Kaeo,NZ,-35.1,173.7833,69.33,56,47,9.64,scattered clouds
135,Honggang,CN,46.4667,124.8667,48.09,52,0,11.01,clear sky
136,Abu Dhabi,AE,24.4667,54.3667,86.02,62,0,4.61,clear sky
137,Bull Savanna,JM,17.8868,-77.5902,77.58,75,50,6.46,scattered clouds
138,Beihai,CN,21.4833,109.1,78.46,89,100,14.99,light rain
139,Okhotsk,RU,59.3833,143.3,27.19,76,25,12.82,scattered clouds
140,Saint-Joseph,RE,-21.3667,55.6167,70.16,84,2,5.59,clear sky
141,Ravar,IR,31.2656,56.8055,55.71,29,0,3.44,clear sky
142,Sambava,MG,-14.2667,50.1667,66.58,83,24,8.05,few clouds
143,Adrar,MR,20.5022,-10.0711,85.53,13,91,4.81,overcast clouds
144,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,88,100,10.94,overcast clouds
145,Vardo,NO,70.3705,31.1107,44.35,90,100,7.63,overcast clouds
146,Deputatskiy,RU,69.3,139.9,21.88,81,100,3.27,overcast clouds
147,Mar Del Plata,AR,-38.0023,-57.5575,58.08,60,40,10.0,scattered clouds
148,Ambilobe,MG,-13.2,49.05,71.55,65,53,3.04,broken clouds
149,Harper,LR,4.375,-7.7169,77.76,88,98,9.53,overcast clouds
150,Cap-Aux-Meules,CA,47.3821,-61.8597,54.88,76,62,11.77,broken clouds
151,Teya,RU,60.3778,92.6267,22.23,87,66,3.42,broken clouds
152,Sur,OM,22.5667,59.5289,81.41,56,0,5.97,clear sky
153,Copiapo,CL,-27.3667,-70.3333,53.29,23,13,1.21,few clouds
154,Dzaoudzi,YT,-12.7887,45.2699,75.09,88,75,0.0,light rain
155,Mandurah,AU,-32.55,115.7,66.16,71,100,17.65,overcast clouds
156,Mahibadhoo,MV,3.7833,72.9667,82.6,77,73,17.07,broken clouds
157,Mlonggo,ID,-6.5333,110.7,80.49,66,89,11.63,overcast clouds
158,Bethel,US,41.3712,-73.414,62.96,89,90,3.0,overcast clouds
159,Keti Bandar,PK,24.1447,67.4497,79.5,80,0,10.65,clear sky
160,Maebaru,JP,33.55,130.2,84.94,67,25,2.26,scattered clouds
161,Ucluelet,CA,48.9329,-125.5528,53.1,76,99,5.99,overcast clouds
162,Saskylakh,RU,71.9167,114.0833,23.13,96,100,8.63,overcast clouds
163,Batticaloa,LK,7.7102,81.6924,79.95,75,100,3.69,moderate rain
164,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.45,89,100,18.92,overcast clouds
165,Jambi,ID,-1.6,103.6167,75.02,96,100,1.32,light rain
166,Santiago,CL,-33.4569,-70.6483,66.29,53,0,9.22,clear sky
167,Mackay,AU,-21.15,149.2,84.69,56,27,7.07,scattered clouds
168,Ahipara,NZ,-35.1667,173.1667,61.18,60,91,9.84,overcast clouds
169,Hasaki,JP,35.7333,140.8333,77.29,67,35,15.12,scattered clouds
170,Barrow,US,71.2906,-156.7887,26.62,80,75,8.05,broken clouds
171,Yinchuan,CN,38.4681,106.2731,45.45,47,0,5.57,clear sky
172,Kungurtug,RU,50.5994,97.5228,24.57,71,6,2.53,clear sky
173,Lompoc,US,34.6391,-120.4579,80.78,66,1,14.97,clear sky
174,Rudnya,RU,54.947,31.0934,35.87,79,33,5.46,scattered clouds
175,Manjeshwar,IN,12.7194,74.8861,77.95,91,32,4.79,scattered clouds
176,Ust-Karsk,RU,52.7011,118.8077,37.85,72,4,3.83,clear sky
177,Kutum,SD,14.2,24.6667,83.1,20,89,10.63,overcast clouds
178,Muli,MV,2.9167,73.5667,82.9,75,83,16.42,broken clouds
179,Predivinsk,RU,57.0669,93.4378,33.94,94,100,4.76,overcast clouds
180,Luanda,AO,-8.8368,13.2343,73.24,81,52,7.27,broken clouds
181,Riyadh,SA,24.6877,46.7219,75.34,18,0,2.04,clear sky
182,Quatre Cocos,MU,-20.2078,57.7625,71.1,92,98,8.05,light rain
183,San Quintin,MX,30.4833,-115.95,70.61,63,0,12.55,clear sky
184,Geraldton,AU,-28.7667,114.6,58.12,82,40,5.75,scattered clouds
185,Jumla,NP,29.2747,82.1838,49.15,68,0,5.26,clear sky
186,Kaabong,UG,3.4836,34.1492,68.2,64,16,10.16,few clouds
187,Lagoa,PT,39.05,-27.9833,70.39,89,100,21.79,overcast clouds
188,Hami,CN,42.8,93.45,45.5,27,2,5.41,clear sky
189,Boundiali,CI,9.5217,-6.4869,72.63,94,96,1.97,light rain
190,Clyde River,CA,70.4692,-68.5914,32.4,77,100,3.87,overcast clouds
191,Mecca,SA,21.4267,39.8261,83.89,42,4,1.57,clear sky
192,Talnakh,RU,69.4865,88.3972,23.29,95,96,8.28,light snow
193,Chaihe,CN,44.7667,129.7,47.91,54,0,13.04,clear sky
194,Nyagan,RU,62.1406,65.3936,27.77,66,9,4.99,clear sky
195,Wajir,KE,1.7471,40.0573,77.16,65,24,14.25,few clouds
196,Saint-Pierre,RE,-21.3393,55.4781,71.24,71,0,6.91,clear sky
197,Torbay,CA,47.6666,-52.7314,42.76,82,37,1.01,scattered clouds
198,Batagay,RU,67.6333,134.6333,31.89,75,100,5.82,overcast clouds
199,Lovozero,RU,68.005,35.0117,40.96,97,100,1.83,overcast clouds
200,Marzuq,YE,14.4,46.4667,76.6,61,41,2.53,scattered clouds
201,Khatanga,RU,71.9667,102.5,15.94,96,100,5.41,light snow
202,Saint-Leu,RE,-21.15,55.2833,70.63,73,0,0.89,clear sky
203,Veracruz,MX,19.3333,-96.6667,77.86,90,31,3.02,scattered clouds
204,Camana,PE,-16.6228,-72.7111,63.75,85,80,7.61,broken clouds
205,Gilgit,PK,35.9221,74.3087,56.75,78,100,5.93,overcast clouds
206,Cordoba,AR,-31.4135,-64.1811,64.6,84,75,1.01,broken clouds
207,Feijo,BR,-8.1642,-70.3536,78.24,76,72,3.36,broken clouds
208,Kingaroy,AU,-26.5333,151.8333,75.6,44,75,9.71,broken clouds
209,Newton,US,42.337,-71.2092,62.06,87,90,1.01,overcast clouds
210,Sao Filipe,CV,14.8961,-24.4956,80.28,73,0,3.51,clear sky
211,Pochutla,MX,15.7432,-96.4661,83.82,79,64,5.75,broken clouds
212,Wuda,CN,39.4994,106.7117,42.96,33,0,18.63,clear sky
213,Lata,PT,40.1629,-8.3327,66.06,55,13,4.92,few clouds
214,Kodiak,US,57.79,-152.4072,45.45,69,100,9.48,overcast clouds
215,Barreirinhas,BR,-2.7469,-42.8264,79.7,79,35,11.07,scattered clouds
216,Beni Suef,EG,29.0731,31.0979,72.82,61,0,10.36,clear sky
217,Kayerkan,RU,69.3497,87.7602,22.33,94,100,8.5,light snow
218,San Luis,AR,-33.295,-66.3356,57.38,70,42,4.99,scattered clouds
219,Yining,CN,29.0361,114.5636,59.63,88,100,4.52,overcast clouds
220,San Juan,AR,-31.5375,-68.5364,70.95,31,2,6.82,clear sky
221,Aksarka,RU,66.5606,67.7975,26.06,87,15,4.07,few clouds
222,Murrhardt,DE,48.9819,9.5705,41.99,86,8,2.59,clear sky
223,Hornepayne,CA,49.2138,-84.7705,63.12,94,100,10.71,overcast clouds
224,Kasongo,CD,-4.45,26.6667,67.77,92,77,4.32,broken clouds
225,Rawson,AR,-43.3002,-65.1023,61.97,52,18,5.68,few clouds
226,Anadyr,RU,64.75,177.4833,23.5,92,75,5.99,broken clouds
227,Tiksi,RU,71.6872,128.8694,29.21,97,100,8.1,light snow
228,Leh,IN,34.1667,77.5833,38.93,48,0,4.14,clear sky
229,Bathsheba,BB,13.2167,-59.5167,81.81,78,100,18.1,overcast clouds
230,Katsuura,JP,35.1333,140.3,80.19,68,48,14.76,scattered clouds
231,Lima,PE,-12.0432,-77.0282,63.9,80,90,11.5,overcast clouds
232,Poso,ID,-1.3959,120.7524,82.09,70,100,4.0,overcast clouds
233,Harlingen,US,26.1906,-97.6961,87.33,81,1,19.57,clear sky
234,Olafsvik,IS,64.8945,-23.7142,40.32,60,19,1.39,few clouds
235,Tabuk,PH,17.4189,121.4443,72.86,99,100,4.54,heavy intensity rain
236,Victoria,HK,22.2855,114.1577,85.21,80,87,3.0,overcast clouds
237,Kollam,IN,8.8833,76.6,78.67,87,92,1.9,overcast clouds
238,Camacari,BR,-12.6975,-38.3242,71.85,84,1,6.4,clear sky
239,Panzhihua,CN,26.5851,101.7128,66.81,86,99,1.45,overcast clouds
240,Tessalit,ML,20.1986,1.0114,83.55,11,90,7.81,overcast clouds
241,Puerto Narino,CO,-3.7703,-70.3831,80.55,71,94,2.64,overcast clouds
242,Kropotkin,RU,45.4375,40.5756,49.73,84,9,12.24,clear sky
243,Strelka,RU,58.0728,93.0344,26.6,93,92,6.17,overcast clouds
244,Arinos,BR,-15.9169,-46.1056,79.02,61,92,3.69,moderate rain
245,Sfantu Gheorghe,RO,45.8667,25.7833,38.93,52,77,4.94,broken clouds
246,Lorengau,PG,-2.0226,147.2712,85.19,66,72,3.6,broken clouds
247,Isangel,VU,-19.55,169.2667,78.49,61,3,9.73,clear sky
248,Ancud,CL,-41.8697,-73.8203,50.43,88,100,6.26,overcast clouds
249,Pisco,PE,-13.7,-76.2167,62.65,82,0,8.05,clear sky
250,Alofi,NU,-19.0595,-169.9187,77.34,78,100,4.07,overcast clouds
251,Pordim,BG,43.3833,24.85,52.32,82,99,7.94,overcast clouds
252,Menongue,AO,-14.6585,17.691,66.79,25,22,5.41,few clouds
253,Merauke,ID,-8.4667,140.3333,81.63,69,89,9.69,overcast clouds
254,Ialibu,PG,-6.2821,143.9935,58.57,98,100,1.14,overcast clouds
255,Dalhousie,IN,32.5333,75.9833,51.82,41,0,9.55,clear sky
256,Moundsville,US,39.9203,-80.7431,70.16,83,63,2.13,broken clouds
257,Berdigestyakh,RU,62.0989,126.6992,32.94,82,96,10.22,overcast clouds
258,Ambulu,ID,-8.345,113.6058,78.06,73,87,3.06,overcast clouds
259,Hobyo,SO,5.3505,48.5268,78.33,88,48,15.86,scattered clouds
260,Belen,TR,36.4891,36.2233,66.02,88,0,0.0,clear sky
261,Pacific Grove,US,36.6177,-121.9166,79.99,77,1,1.99,clear sky
262,Winnemucca,US,40.973,-117.7357,64.45,25,1,10.36,clear sky
263,Lumphat,KH,13.4878,106.9816,75.18,98,100,0.78,overcast clouds
264,Umba,RU,66.6871,34.3429,47.43,99,100,3.09,overcast clouds
265,Kaitangata,NZ,-46.2817,169.8464,53.67,76,100,5.75,overcast clouds
266,Great Bend,US,38.3645,-98.7648,55.53,95,90,1.01,moderate rain
267,Baykit,RU,61.67,96.37,21.11,84,50,6.31,scattered clouds
268,Sorland,NO,67.667,12.6934,49.64,82,97,10.76,overcast clouds
269,Ternate,ID,0.8,127.4,83.39,76,94,5.44,overcast clouds
270,Lakes Entrance,AU,-37.8811,147.981,57.16,59,12,7.7,few clouds
271,Oktyabrskiy,RU,54.4815,53.471,39.4,86,99,2.82,overcast clouds
272,Ozernovskiy,RU,51.5,156.5167,48.04,89,100,21.65,moderate rain
273,Havre-Saint-Pierre,CA,50.2334,-63.5986,49.01,91,95,11.88,overcast clouds
274,Noumea,NC,-22.2763,166.4572,84.18,99,0,7.09,clear sky
275,Daru,PG,-9.0763,143.2092,80.46,77,100,8.19,overcast clouds
276,Djambala,CG,-2.5447,14.7533,68.41,95,99,5.3,light rain
277,Boa Vista,BR,2.8197,-60.6733,76.3,88,86,3.67,moderate rain
278,Rock Springs,US,41.5875,-109.2029,53.04,43,1,5.01,clear sky
279,Dibulla,CO,11.2725,-73.3091,78.94,88,95,3.47,overcast clouds
280,Sungaipenuh,ID,-2.0833,101.3833,64.62,99,100,2.42,overcast clouds
281,Cherskiy,RU,68.75,161.3,10.99,91,71,5.14,broken clouds
282,Fort-Shevchenko,KZ,44.5086,50.263,52.34,58,83,9.28,broken clouds
283,Sinnamary,GF,5.3833,-52.95,79.86,87,81,11.65,broken clouds
284,Elko,US,41.0002,-115.5012,59.74,35,5,8.99,clear sky
285,Dingle,PH,10.9995,122.6711,78.33,92,96,11.77,overcast clouds
286,Grindavik,IS,63.8424,-22.4338,37.87,93,75,3.44,broken clouds
287,Vila Velha,BR,-20.3297,-40.2925,67.95,100,90,2.3,mist
288,Iqaluit,CA,63.7506,-68.5145,32.7,86,41,1.99,scattered clouds
289,Ufimskiy,RU,56.7084,58.0517,32.88,95,74,2.39,broken clouds
290,Kandrian,PG,-6.2167,149.55,80.92,79,100,2.93,overcast clouds
291,Venezuela,VE,8.0,-66.0,86.09,61,86,5.19,overcast clouds
292,Methoni,GR,36.8197,21.7049,66.22,80,43,8.97,scattered clouds
293,Dwarka,IN,22.2394,68.9678,81.66,77,2,6.42,clear sky
294,Savannah Bight,HN,16.45,-85.85,82.99,72,5,8.81,clear sky
295,Ulcinj,ME,41.9294,19.2244,59.92,93,100,9.48,overcast clouds
296,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,64,42,10.36,scattered clouds
297,Rognedino,RU,53.8015,33.5576,36.16,77,5,2.35,clear sky
298,Les Cayes,HT,18.2,-73.75,79.11,78,63,1.66,broken clouds
299,Lasa,IT,46.6166,10.7002,39.36,66,4,7.34,clear sky
300,Zaigrayevo,RU,51.8336,108.2703,20.46,72,0,1.45,clear sky
301,Sisimiut,GL,66.9395,-53.6735,33.44,80,98,4.85,overcast clouds
302,Dom Pedrito,BR,-30.9828,-54.6731,62.49,96,100,10.33,overcast clouds
303,Rajapur,IN,25.3833,81.15,75.29,59,1,3.65,clear sky
304,Bata,GQ,1.8639,9.7658,76.28,87,84,0.22,broken clouds
305,Tahta,EG,26.7693,31.5021,83.08,20,52,6.29,broken clouds
306,High Level,CA,58.5169,-117.136,41.11,87,75,4.61,broken clouds
307,Ibadan,NG,7.3878,3.8964,72.48,98,100,3.2,overcast clouds
308,Gizo,SB,-8.103,156.8419,84.25,72,76,7.43,broken clouds
309,Poum,NC,-20.2333,164.0167,75.42,65,11,18.66,few clouds
310,Ivanishchi,RU,55.7742,40.4273,43.14,82,46,4.36,scattered clouds
311,Fortuna,US,40.5982,-124.1573,62.19,67,64,4.0,broken clouds
312,Aksu,CN,41.1231,80.2644,48.38,31,100,1.16,overcast clouds
313,Nakusp,CA,50.2499,-117.8023,46.47,83,94,3.29,overcast clouds
314,Turukhansk,RU,65.8167,87.9833,25.88,75,100,11.32,overcast clouds
315,Marystown,CA,47.1666,-55.1483,49.86,100,23,10.74,few clouds
316,Nanortalik,GL,60.1432,-45.2371,36.41,64,3,1.72,clear sky
317,Trairi,BR,-3.2778,-39.2689,79.43,72,5,11.61,clear sky
318,Sitka,US,57.0531,-135.33,49.89,76,75,3.44,broken clouds
319,Doha,QA,25.2867,51.5333,82.38,58,0,5.75,clear sky
320,Seoul,KR,37.5683,126.9778,58.51,50,99,1.74,overcast clouds
321,Binga,ZW,-17.6203,27.3414,71.71,61,53,7.38,broken clouds
322,Rio Grande,BR,-32.035,-52.0986,63.95,79,93,19.86,overcast clouds
323,Suleja,NG,9.1758,7.1808,72.7,96,94,2.75,overcast clouds
324,Matara,LK,5.9485,80.5353,77.92,89,88,12.41,overcast clouds
325,Dzhebariki-Khaya,RU,62.2167,135.8,32.67,64,100,4.88,overcast clouds
326,Bambanglipuro,ID,-7.95,110.2833,77.74,79,94,8.01,overcast clouds
327,Tiarei,PF,-17.5333,-149.3333,86.02,76,55,10.67,broken clouds
328,Coihaique,CL,-45.5752,-72.0662,49.95,71,75,3.44,light rain
329,Butembo,CD,0.15,29.2833,58.86,95,100,2.66,overcast clouds
330,Pozo Colorado,PY,-23.4923,-58.7972,73.02,88,98,2.28,overcast clouds
331,San Julian,MX,21.0167,-102.1667,71.87,63,34,5.75,scattered clouds
332,Broome,US,42.2506,-75.833,64.2,77,75,1.01,broken clouds
333,Stephenville,US,32.2207,-98.2023,87.89,58,40,13.8,scattered clouds
334,Puerto Madryn,AR,-42.7692,-65.0385,64.49,48,30,12.8,scattered clouds
335,Manaus,BR,-3.1019,-60.025,86.49,70,40,10.36,scattered clouds
336,Santa Cruz,BO,-17.8,-63.1667,81.86,65,40,16.11,scattered clouds
337,Altay,CN,47.8667,88.1167,38.21,47,95,4.38,overcast clouds
338,Deniliquin,AU,-35.5333,144.9667,55.99,35,0,11.72,clear sky
339,Magadan,RU,59.5667,150.8,34.41,46,1,11.27,clear sky
340,Port Pirie,AU,-33.1833,138.0167,57.29,35,1,9.17,clear sky
341,Abha,SA,18.2164,42.5053,62.85,24,0,5.75,clear sky
342,Chachapoyas,PE,-6.2317,-77.869,55.18,96,53,4.18,light rain
343,Ascension,US,30.2169,-90.9001,81.0,75,1,6.91,clear sky
344,Quepos,CR,9.4236,-84.1652,83.05,88,55,3.33,broken clouds
345,Port Hardy,CA,50.6996,-127.4199,49.5,76,89,8.95,light rain
346,Sidney,AU,-33.8679,151.2073,54.32,92,100,1.01,overcast clouds
347,Saint-Louis,SN,16.3333,-15.0,83.64,53,4,12.95,clear sky
348,Carman,CA,49.4992,-98.0016,52.12,89,100,11.59,overcast clouds
